geometry_sha256,mesh_id,material,role,lc,status,problems,mass_g,max_vm_raw_MPa,raw_peak_location_deck,raw_peak_zone,max_vm_away_MPa,away_peak_location_deck,max_disp_mm,displacement_location_deck,disp_ratio_to_ti,yield_MPa,sf_raw,sf_away,yield_exceeded_raw,yield_exceeded_away,meets_sf_1p5_away,force_residual_N,force_residual_pct,moment_residual_Nmm,moment_residual_pct,wall_s,ccx_warnings,deck,frd,map
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,Ti-6Al-4V (GE challenge baseline),challenge baseline,LC1,valid,,1256.9,1717.2,"[-6.11, -144.51, 7.85]",bolt exclusion,427.2,"[-25.9, -94.33, 23.2]",0.4142,"[-38.71, -59.19, 49.0]",1.0,903.2,0.526,2.114,True,False,True,"[0.001, -0.002, -0.011]",0.0,"[-0.7, -0.1, 0.0]",0.0,50.9,0,data/ge_manual/matrix/L1/ti6al4v/LC1/ti6al4v_LC1.inp,data/ge_manual/matrix/L1/ti6al4v/LC1/ti6al4v_LC1.frd,out/ge_manual_matrix/maps/ti6al4v_LC1.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,Ti-6Al-4V (GE challenge baseline),challenge baseline,LC2,valid,,1256.9,995.2,"[-4.65, -5.69, 7.85]",bolt exclusion,214.8,"[53.73, -8.68, 9.4]",0.2094,"[-29.88, -91.14, 59.82]",1.0,903.2,0.908,4.205,True,False,True,"[0.004, -0.003, -0.002]",0.0,"[0.1, -0.1, -0.2]",0.0,51.3,0,data/ge_manual/matrix/L1/ti6al4v/LC2/ti6al4v_LC2.inp,data/ge_manual/matrix/L1/ti6al4v/LC2/ti6al4v_LC2.frd,out/ge_manual_matrix/maps/ti6al4v_LC2.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,Ti-6Al-4V (GE challenge baseline),challenge baseline,LC3,valid,,1256.9,946.7,"[-6.11, -144.51, 7.85]",bolt exclusion,407.2,"[-26.47, -94.62, 22.73]",0.2742,"[-23.35, -75.58, 1.24]",1.0,903.2,0.954,2.218,True,False,True,"[-0.003, -0.004, -0.003]",0.0,"[-0.2, 0.2, -0.2]",0.0,51.2,0,data/ge_manual/matrix/L1/ti6al4v/LC3/ti6al4v_LC3.inp,data/ge_manual/matrix/L1/ti6al4v/LC3/ti6al4v_LC3.frd,out/ge_manual_matrix/maps/ti6al4v_LC3.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,Ti-6Al-4V (GE challenge baseline),challenge baseline,LC4,valid,,1256.9,392.9,"[-14.85, -92.05, 36.98]",pin exclusion,154.6,"[-15.42, -56.49, 31.46]",0.0531,"[-37.61, -92.8, 45.02]",1.0,903.2,2.299,5.842,False,False,True,"[-0.001, -0.0, -0.001]",0.0,"[0.0, 0.0, -0.0]",0.0,51.2,0,data/ge_manual/matrix/L1/ti6al4v/LC4/ti6al4v_LC4.inp,data/ge_manual/matrix/L1/ti6al4v/LC4/ti6al4v_LC4.frd,out/ge_manual_matrix/maps/ti6al4v_LC4.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,"Al 7075-T651 plate, 2.501-3.000 in",project comparison,LC1,valid,,797.3,1735.2,"[-6.11, -144.51, 7.85]",bolt exclusion,428.5,"[-25.9, -94.33, 23.2]",0.6563,"[-38.71, -59.19, 49.0]",1.585,421.3,0.243,0.983,True,True,False,"[-0.0, 0.001, 0.018]",0.0001,"[0.4, -0.3, -0.1]",0.0,50.4,0,data/ge_manual/matrix/L1/al7075_t651/LC1/al7075_t651_LC1.inp,data/ge_manual/matrix/L1/al7075_t651/LC1/al7075_t651_LC1.frd,out/ge_manual_matrix/maps/al7075_t651_LC1.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,"Al 7075-T651 plate, 2.501-3.000 in",project comparison,LC2,valid,,797.3,1003.0,"[-4.65, -5.69, 7.85]",bolt exclusion,214.9,"[53.73, -8.68, 9.4]",0.3312,"[-29.88, -91.14, 59.82]",1.582,421.3,0.42,1.96,True,False,True,"[-0.003, -0.001, -0.002]",0.0,"[0.1, 0.2, 0.1]",0.0,51.2,0,data/ge_manual/matrix/L1/al7075_t651/LC2/al7075_t651_LC2.inp,data/ge_manual/matrix/L1/al7075_t651/LC2/al7075_t651_LC2.frd,out/ge_manual_matrix/maps/al7075_t651_LC2.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,"Al 7075-T651 plate, 2.501-3.000 in",project comparison,LC3,valid,,797.3,954.0,"[-6.11, -144.51, 7.85]",bolt exclusion,408.8,"[-26.47, -94.62, 22.73]",0.4348,"[-23.35, -75.58, 1.24]",1.586,421.3,0.442,1.031,True,False,False,"[0.006, 0.006, -0.001]",0.0,"[0.3, -0.3, 0.1]",0.0,50.5,0,data/ge_manual/matrix/L1/al7075_t651/LC3/al7075_t651_LC3.inp,data/ge_manual/matrix/L1/al7075_t651/LC3/al7075_t651_LC3.frd,out/ge_manual_matrix/maps/al7075_t651_LC3.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,"Al 7075-T651 plate, 2.501-3.000 in",project comparison,LC4,valid,,797.3,394.0,"[-14.85, -92.05, 36.98]",pin exclusion,155.8,"[-15.42, -56.49, 31.46]",0.0841,"[-37.61, -92.8, 45.02]",1.584,421.3,1.069,2.704,False,False,True,"[-0.0, 0.0, 0.0]",0.0,"[-0.0, 0.0, 0.1]",0.0,49.7,0,data/ge_manual/matrix/L1/al7075_t651/LC4/al7075_t651_LC4.inp,data/ge_manual/matrix/L1/al7075_t651/LC4/al7075_t651_LC4.frd,out/ge_manual_matrix/maps/al7075_t651_LC4.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,Al 6061-T651 plate,project comparison,LC1,valid,,766.1,1735.2,"[-6.11, -144.51, 7.85]",bolt exclusion,428.5,"[-25.9, -94.33, 23.2]",0.6826,"[-38.71, -59.19, 49.0]",1.648,241.3,0.139,0.563,True,True,False,"[-0.0, 0.001, 0.018]",0.0001,"[0.4, -0.3, -0.1]",0.0,50.3,0,data/ge_manual/matrix/L1/al6061_t651/LC1/al6061_t651_LC1.inp,data/ge_manual/matrix/L1/al6061_t651/LC1/al6061_t651_LC1.frd,out/ge_manual_matrix/maps/al6061_t651_LC1.png
b025011ca66061d45617780d0ecb41d568da8ccd42f9687c24d2ea83ea790af6,L1 connectivity 342e0de4406fb646df3ae22e589d470e601b036a9da57237bacf63b372280b83,Al 6061-T651 plate,project comparison,LC2,valid,,766.1,1003.0,"[-4.65, -5.69, 7.85]",bolt exclusion,214.9,"[53.73, -8.68, 9.4]",0.3444,"[-29.88, -91.14, 59.82]",1.645,241.3,0.241,1.123,True,False,False,"[-0.003, -0.001, -0.002]",0.0,"[0.1, 0.2, 0.1]",0.0,50.5,0,data/ge_manual/matrix/L1/al6061_t651/LC2/al6061_t651_LC2.inp,data/ge_manual/matrix/L1/al6061_t651/LC2/al6061_t651_LC2.frd,out/ge_manual_matrix/maps/al6061_t651_LC2.png
